id;id_2;nct_id;any paper (0=no paper, 1=article, 2=non-publication equivalent like abstract or poster);publication found (1=linked in registry, 2=google search - trial number, 3=google search - PI + intervention, 4=google, either via trial number or search terms);pmid;publication date (only fill in if no PMID available);comments from doublecheck;last_update_submitted_date;registration_date;summary_results_date;study_type;phase;enrollment;recruitment_status;title;start_date;completion_date;primary_completion_date;has_summary_results;allocation;masking;main_sponsor;is_multicentric;principal_investigator_1;principal_investigator_2;principal_investigator_3;study_chair_1;study_chair_2;study_director_1;study_director_2;unspecified_official;sub_investigator;registration_year;start_year;completion_year;primary_completion_year;affiliation;initial doublecheck (1=yes);main sample rater
750;40;NCT01165450;0;;;;2 participants study/summary results,Terminated d/t no supply of study drug;20.04.2015;15.07.2010;07.04.2015;Interventional;Phase 2;2;Terminated;Efficacy and Safety Study of Nexagon for Persistent Corneal Epithelial Defects;2011-11-01T00:00:00Z;2014-02-01T00:00:00Z;2014-02-01T00:00:00Z;TRUE;Randomized;Triple;OTHER;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2010;2011;2014;2014;UCSF;;Samruddhi
781;147;NCT00004259;1;1;15234047;15.07.2004;phase 1 pilot arms of a phase 3 study;28.08.2019;28.01.2000;25.05.2017;Interventional;Phase 3;230;Completed;Radiation Therapy Combined With Chemotherapy in Treating Patients With Anaplastic Astrocytoma or Mixed Gliomas;2000-06-01T00:00:00Z;2018-05-14T00:00:00Z;2015-02-01T00:00:00Z;TRUE;Randomized;None (Open Label);NETWORK;TRUE;NA;NA;NA;University of California, San Francisco;NA;NA;NA;NA;NA;2000;2000;2018;2015;UCSF;;Susanne
482;205;NCT00812708;1;1;18812117;01.10.2008;study started in 2003, first interrip report in this publication;07.12.2021;19.12.2008;01.06.2018;Interventional;Not Applicable;72;Completed;Clinical Evaluation of Morcher Artificial Iris Diaphragms;2003-04-09T00:00:00Z;2021-12-07T00:00:00Z;2014-06-20T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2008;2003;2021;2014;UCLA;;Mario
672;284;NCT00506909;1;1;20615494;07.07.2010;;30.08.2019;23.07.2007;30.08.2019;Interventional;Not Applicable;21;Terminated;Oxytocin Add on Study for Stable Schizophrenic Patients;2008-03-01T00:00:00Z;2014-03-01T00:00:00Z;2014-03-01T00:00:00Z;TRUE;Randomized;Triple;OTHER;FALSE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2007;2008;2014;2014;UCSD;;Susanne
866;603;NCT00501709;1;3;20659093;01.08.2010;;30.04.2020;12.07.2007;NA;Interventional;Phase 1/Phase 2;10;Completed;Prevention of Autoimmune Destruction and Rejection of Human Pancreatic Islets Following Transplantation for Insulin Dependent Diabetes Mellitus;2007-02-01T00:00:00Z;2016-12-01T00:00:00Z;2016-12-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2007;2007;2016;2016;UCSF;;Stefanie
460;138;NCT00114530;1;1;20800376;26.08.2010;;12.05.2021;15.06.2005;05.05.2017;Interventional;Phase 2/Phase 3;75;Completed;Scleroderma: Cyclophosphamide or Transplantation;2005-06-01T00:00:00Z;2016-04-01T00:00:00Z;2016-04-01T00:00:00Z;TRUE;Randomized;None (Open Label);NIH;TRUE;NA;NA;NA;University of California, Los Angeles Rheumatology;NA;NA;NA;NA;NA;2005;2005;2016;2016;UCLA;;Emmanuel
700;557;NCT01306539;1;1;21184765;22.12.2010;;31.07.2019;28.02.2011;NA;Interventional;Not Applicable;20;Completed;Neuropsychiatric Effects of Deep Brain Stimulation in Patients With Parkinson's Disease;2008-07-01T00:00:00Z;2014-12-01T00:00:00Z;2014-12-01T00:00:00Z;FALSE;NA;Double;OTHER;FALSE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2011;2008;2014;2014;UCSD;;Stefanie
760;64;NCT01702246;1;1;21477202;08.04.2011;24(in registry) vs 26(pub);26.10.2016;04.10.2012;15.01.2016;Interventional;Phase 1/Phase 2;24;Completed;Effect of Simvastatin Treatment on Vaso-occlusive Pain in Sickle Cell Disease;2012-02-01T00:00:00Z;2015-06-01T00:00:00Z;2015-05-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;UCSF Benioff Children's Hospital Oakland;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2015;2015;UCSF;;Samruddhi
;312;NCT01103921;1;3;21849529;17.08.2011;all seem to report subgroups, 21849529 seems the earliest reporting a primary outcome;25.05.2017;13.04.2010;NA;Interventional;Not Applicable;214;Completed;The Metabolic Effects of Consuming Sugar-Sweetened Beverages for Two Weeks;2008-10-01T00:00:00Z;2014-01-01T00:00:00Z;2014-01-01T00:00:00Z;FALSE;Non-Randomized;Double;OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;University of California, Davis;;NA;NA;2010;2008;2014;2014;UCD;1;
877;612;NCT01156584;1;1;22070930;09.11.2011;;16.05.2018;01.07.2010;NA;Interventional;Phase 1;54;Completed;A Study of a Retroviral Replicating Vector Combined With a Prodrug Administered to Patients With Recurrent Malignant Glioma;2010-07-01T00:00:00Z;2016-08-18T00:00:00Z;2016-08-18T00:00:00Z;FALSE;NA;None (Open Label);INDUSTRY;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2010;2010;2016;2016;UCSF;;Emmanuel
