"","id","nct_id","result_group_id","ctgov_group_code","time_frame","event_type","default_vocab","default_assessment","subjects_affected","subjects_at_risk","description","event_count","organ_system","adverse_event_term","frequency_threshold","vocab","assessment"
"1",579364187,"NCT00457951",60237415,"EG000","D1 to D90","serious",NA,NA,0,13,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Gastrointestinal disorders","Retroperitoneal haematoma",5,"MedDRA (Unspecified)","Systematic Assessment"
"2",579364188,"NCT00457951",60237416,"EG001","D1 to D90","serious",NA,NA,0,65,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Gastrointestinal disorders","Retroperitoneal haematoma",5,"MedDRA (Unspecified)","Systematic Assessment"
"3",579364189,"NCT00457951",60237417,"EG002","D1 to D90","serious",NA,NA,1,69,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Gastrointestinal disorders","Retroperitoneal haematoma",5,"MedDRA (Unspecified)","Systematic Assessment"
"4",579364190,"NCT00457951",60237415,"EG000","D1 to D90","serious",NA,NA,0,13,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Gastrointestinal disorders","Upper gastrointestinal haemorrhage",5,"MedDRA (Unspecified)","Systematic Assessment"
"5",579364191,"NCT00457951",60237416,"EG001","D1 to D90","serious",NA,NA,0,65,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Gastrointestinal disorders","Upper gastrointestinal haemorrhage",5,"MedDRA (Unspecified)","Systematic Assessment"
"6",579364192,"NCT00457951",60237417,"EG002","D1 to D90","serious",NA,NA,1,69,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Gastrointestinal disorders","Upper gastrointestinal haemorrhage",5,"MedDRA (Unspecified)","Systematic Assessment"
"7",579364193,"NCT00457951",60237415,"EG000","D1 to D90","serious",NA,NA,0,13,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Nervous system disorders","Guillain-barre syndrome",5,"MedDRA (Unspecified)","Systematic Assessment"
"8",579364194,"NCT00457951",60237416,"EG001","D1 to D90","serious",NA,NA,1,65,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Nervous system disorders","Guillain-barre syndrome",5,"MedDRA (Unspecified)","Systematic Assessment"
"9",579364195,"NCT00457951",60237417,"EG002","D1 to D90","serious",NA,NA,0,69,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Nervous system disorders","Guillain-barre syndrome",5,"MedDRA (Unspecified)","Systematic Assessment"
"10",579364196,"NCT00457951",60237415,"EG000","D1 to D90","serious",NA,NA,0,13,"Of the 145 subjects consented in the randomized phase, 138 were randomized. Of the 138 randomized subjects, 134 were included in the safety population; 4 of the 138 randomized subjects did not receive study medication.",NA,"Nervous system disorders","Ischaemic stroke",5,"MedDRA (Unspecified)","Systematic Assessment"
