"id";"pmid";"doi";"any paper";"publication_found";"publication_date";"comments_from_doublecheck";"last_update_submitted_date";"registration_date";"summary_results_date";"study_type";"phase";"enrollment";"recruitment_status";"title";"start_date";"completion_date";"primary_completion_date";"has_summary_results";"allocation";"masking";"main_sponsor";"is_multicentric";"principal_investigator_1";"principal_investigator_2";"principal_investigator_3";"study_chair_1";"study_chair_2";"study_director_1";"study_director_2";"unspecified_official";"sub_investigator";"registration_year";"start_year";"completion_year";"primary_completion_year";"affiliation";"initial_doublecheck";"main_sample_rater";"publication_type";"has_reg_pub_link";"color_green_only";"color";"issn";"journal";"publisher";"publication_date_unpaywall";"has_followup_2y";"has_followup_2y_pub";"has_followup_2y_sumres";"has_followup_5y";"has_followup_5y_pub";"has_followup_5y_sumres";"is_summary_results_5y";"is_summary_results_2y";"is_publication_2y";"is_publication_5y";"has_publication";"has_pubmed";"has_ft";"ft_source";"ft_doi.x";"pub_title";"journal_pubmed";"ppub_date";"epub_date";"citation";"registry";"has_trn_secondary_id";"has_trn_abstract";"has_trn_ft";"ft_doi.y"
"NCT01165450";NA;NA;0;NA;NA;"2 participants study/summary results,Terminated d/t no supply of study drug";2015-04-20;2010-07-15;2015-04-07;"Interventional";"Phase 2";2;"Terminated";"Efficacy and Safety Study of Nexagon for Persistent Corneal Epithelial Defects";2011-11-01;2014-02-01;2014-02-01;TRUE;"Randomized";"Triple";"OTHER";TRUE;"University of California, San Francisco";NA;NA;NA;NA;NA;NA;NA;NA;2010;2011;2014;2014;"UCSF";NA;"Samruddhi";"unknown";NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;FALSE;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NCT00506909";"20615494";"10.1111/j.1365-2141.2010.08480.x";1;1;2010-07-07;NA;2019-08-30;2007-07-23;2019-08-30;"Interventional";"Not Applicable";21;"Terminated";"Oxytocin Add on Study for Stable Schizophrenic Patients";2008-03-01;2014-03-01;2014-03-01;TRUE;"Randomized";"Triple";"OTHER";FALSE;"University of California, San Diego";NA;NA;NA;NA;NA;NA;NA;NA;2007;2008;2014;2014;"UCSD";NA;"Susanne";"journal publication";TRUE;"green";"green";"0007-1048";"British Journal of Haematology";"Wiley";2011-04-08;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Adjunctive intranasal oxytocin reduces symptoms in schizophrenia patients";"Biological psychiatry";"2010-Oct-01";"2010-07-07";"Feifel et al. (2010) Adjunctive intranasal oxytocin reduces symptoms in schizophrenia patients";"ClinicalTrials.gov";TRUE;FALSE;FALSE;TRUE
"NCT00501709";"20659093";"10.1210/jc.2011-1251";1;3;2010-08-01;NA;2020-04-30;2007-07-12;NA;"Interventional";"Phase 1/Phase 2";10;"Completed";"Prevention of Autoimmune Destruction and Rejection of Human Pancreatic Islets Following Transplantation for Insulin Dependent Diabetes Mellitus";2007-02-01;2016-12-01;2016-12-01;FALSE;NA;"None (Open Label)";"OTHER";FALSE;"University of California, San Francisco";NA;NA;NA;NA;NA;NA;NA;NA;2007;2007;2016;2016;"UCSF";NA;"Stefanie";"journal publication";FALSE;"bronze";"green";"0021-972X,1945-7197";"The Journal of Clinical Endocrinology &amp; Metabolism";"The Endocrine Society";2011-10-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Islet transplantation in type 1 diabetics using an immunosuppressive protocol based on the anti-LFA-1 antibody efalizumab";"American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons";"2010-Aug";NA;"Posselt et al. (2010) Islet transplantation in type 1 diabetics using an immunosuppressive protocol based on the anti-LFA-1 antibody efalizumab";NA;FALSE;FALSE;FALSE;NA
"NCT00114530";"20800376";"10.1093/neuonc/nor199";1;1;2010-08-26;NA;2021-05-12;2005-06-15;2017-05-05;"Interventional";"Phase 2/Phase 3";75;"Completed";"Scleroderma: Cyclophosphamide or Transplantation";2005-06-01;2016-04-01;2016-04-01;TRUE;"Randomized";"None (Open Label)";"NIH";TRUE;NA;NA;NA;"University of California, Los Angeles Rheumatology";NA;NA;NA;NA;NA;2005;2005;2016;2016;"UCLA";NA;"Emmanuel";"journal publication";TRUE;"hybrid";"hybrid";"1522-8517,1523-5866";"Neuro-Oncology";"Oxford University Press (OUP)";2011-11-09;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Renal shielding and dosimetry for patients with severe systemic sclerosis receiving immunoablation with total body irradiation in the scleroderma: cyclophosphamide or transplantation trial";"International journal of radiation oncology, biology, physics";"2011-Mar-15";"2010-08-26";"Craciunescu et al. (2011) Renal shielding and dosimetry for patients with severe systemic sclerosis receiving immunoablation with total body irradiation in the scleroderma: cyclophosphamide or transplantation trial";NA;FALSE;FALSE;FALSE;NA
"NCT01306539";"21184765";"10.1118/1.3685462";1;1;2010-12-22;NA;2019-07-31;2011-02-28;NA;"Interventional";"Not Applicable";20;"Completed";"Neuropsychiatric Effects of Deep Brain Stimulation in Patients With Parkinson's Disease";2008-07-01;2014-12-01;2014-12-01;FALSE;NA;"Double";"OTHER";FALSE;"University of California, San Diego";NA;NA;NA;NA;NA;NA;NA;NA;2011;2008;2014;2014;"UCSD";NA;"Stefanie";"journal publication";TRUE;"green";"green";"0094-2405";"Medical Physics";"Wiley";2012-02-23;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Stimulation at dorsal and ventral electrode contacts targeted at the subthalamic nucleus has different effects on motor and emotion functions in Parkinson's disease";"Neuropsychologia";"2011-Feb";"2010-12-22";"Greenhouse et al. (2011) Stimulation at dorsal and ventral electrode contacts targeted at the subthalamic nucleus has different effects on motor and emotion functions in Parkinson's disease";NA;FALSE;FALSE;FALSE;NA
"NCT01702246";"21477202";"10.1056/NEJMoa1113538";1;1;2011-04-08;"24(in registry) vs 26(pub)";2016-10-26;2012-10-04;2016-01-15;"Interventional";"Phase 1/Phase 2";24;"Completed";"Effect of Simvastatin Treatment on Vaso-occlusive Pain in Sickle Cell Disease";2012-02-01;2015-06-01;2015-05-01;TRUE;NA;"None (Open Label)";"OTHER";FALSE;"UCSF Benioff Children's Hospital Oakland";NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2015;2015;"UCSF";NA;"Samruddhi";"journal publication";TRUE;"green";"green";"0028-4793,1533-4406";"New England Journal of Medicine";"Massachusetts Medical Society";2012-06-07;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"A pilot study of the short-term use of simvastatin in sickle cell disease: effects on markers of vascular dysfunction";"British journal of haematology";"2011-Jun";"2011-04-08";"Hoppe et al. (2011) A pilot study of the short-term use of simvastatin in sickle cell disease: effects on markers of vascular dysfunction";NA;FALSE;FALSE;FALSE;NA
"NCT01103921";"21849529";"10.1016/j.neuropharm.2012.07.048";1;3;2011-08-17;"all seem to report subgroups, 21849529 seems the earliest reporting a primary outcome";2017-05-25;2010-04-13;NA;"Interventional";"Not Applicable";214;"Completed";"The Metabolic Effects of Consuming Sugar-Sweetened Beverages for Two Weeks";2008-10-01;2014-01-01;2014-01-01;FALSE;"Non-Randomized";"Double";"OTHER";FALSE;"University of California, Davis";NA;NA;NA;NA;"University of California, Davis";NA;NA;NA;2010;2008;2014;2014;"UCD";1;NA;"journal publication";FALSE;"green";"green";"0028-3908";"Neuropharmacology";"Elsevier BV";2013-01-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Consumption of fructose and high fructose corn syrup increase postprandial triglycerides, LDL-cholesterol, and apolipoprotein-B in young men and women";"The Journal of clinical endocrinology and metabolism";"2011-Oct";"2011-08-17";"Stanhope et al. (2011) Consumption of fructose and high fructose corn syrup increase postprandial triglycerides, LDL-cholesterol, and apolipoprotein-B in young men and women";NA;FALSE;FALSE;FALSE;NA
"NCT01156584";"22070930";"10.1111/dme.12120";1;1;2011-11-09;NA;2018-05-16;2010-07-01;NA;"Interventional";"Phase 1";54;"Completed";"A Study of a Retroviral Replicating Vector Combined With a Prodrug Administered to Patients With Recurrent Malignant Glioma";2010-07-01;2016-08-18;2016-08-18;FALSE;NA;"None (Open Label)";"INDUSTRY";TRUE;"University of California, San Francisco";NA;NA;NA;NA;NA;NA;NA;NA;2010;2010;2016;2016;"UCSF";NA;"Emmanuel";"journal publication";TRUE;"green";"green";"0742-3071,1464-5491";"Diabetic Medicine";"Wiley";2013-03-07;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Brain tumor eradication and prolonged survival from intratumoral conversion of 5-fluorocytosine to 5-fluorouracil using a nonlytic retroviral replicating vector";"Neuro-oncology";"2012-Feb";"2011-11-09";"Ostertag et al. (2012) Brain tumor eradication and prolonged survival from intratumoral conversion of 5-fluorocytosine to 5-fluorouracil using a nonlytic retroviral replicating vector";"ClinicalTrials.gov";TRUE;TRUE;FALSE;TRUE
"NCT01852032";"22380376";"10.1097/QAD.0b013e3283601b53";1;3;2012-03-01;NA;2018-03-19;2012-10-29;2018-02-13;"Interventional";"Not Applicable";23;"Completed";"Computed Tomography Versus Standard 2D Mammography Versus 3D Tomosynthesis";2010-11-01;2016-03-04;2016-03-04;TRUE;NA;"None (Open Label)";"OTHER";FALSE;"University of California, Davis";NA;NA;NA;NA;NA;NA;NA;NA;2012;2010;2016;2016;"UCD";NA;"Samruddhi";"journal publication";FALSE;"green";"green";"0269-9370";"AIDS";"Ovid Technologies (Wolters Kluwer Health)";2013-06-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Anatomical complexity in breast parenchyma and its implications for optimal breast imaging strategies";"Medical physics";"2012-Mar";NA;"Chen et al. (2012) Anatomical complexity in breast parenchyma and its implications for optimal breast imaging strategies";NA;FALSE;FALSE;FALSE;NA
"NCT00957229";"22670904";"10.1007/s10461-013-0429-9";1;1;2012-06-07;NA;2020-12-16;2009-08-05;2020-10-08;"Interventional";"Phase 2";41;"Completed";"To Determine The Efficacy and Safety of GDC-0449 in Patients With Basal Cell Nevus Syndrome (BCNS)";2009-08-01;2014-01-01;2014-01-01;TRUE;"Randomized";"Triple";"OTHER";TRUE;"UCSF Benioff Children's Hospital Oakland";NA;NA;NA;NA;NA;NA;NA;NA;2009;2009;2014;2014;"UCSF";NA;"Samruddhi";"journal publication";TRUE;"hybrid";"hybrid";"1090-7165,1573-3254";"AIDS and Behavior";"Springer Science and Business Media LLC";2013-02-23;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Inhibiting the hedgehog pathway in patients with the basal-cell nevus syndrome";"The New England journal of medicine";"2012-Jun-07";NA;"Tang et al. (2012) Inhibiting the hedgehog pathway in patients with the basal-cell nevus syndrome";"ClinicalTrials.gov";TRUE;TRUE;FALSE;TRUE
