"","id","nct_id","result_group_id","ctgov_group_code","time_frame","event_type","default_vocab","default_assessment","subjects_affected","subjects_at_risk","description","event_count","organ_system","adverse_event_term","frequency_threshold","vocab","assessment"
"1",581571799,"NCT02215161",60409052,"EG000","2 years, 6 months","serious",NA,NA,1,14,NA,NA,"Blood and lymphatic system disorders","Anemia",0,NA,"Systematic Assessment"
"2",581571800,"NCT02215161",60409052,"EG000","2 years, 6 months","serious",NA,NA,1,14,NA,NA,"Blood and lymphatic system disorders","Blood and lymphatic system disorders - Other, specify",0,NA,"Systematic Assessment"
"3",581571801,"NCT02215161",60409052,"EG000","2 years, 6 months","serious",NA,NA,1,14,NA,NA,"Eye disorders","Eye disorders - Other, specify",0,NA,"Systematic Assessment"
"4",581571802,"NCT02215161",60409052,"EG000","2 years, 6 months","serious",NA,NA,1,14,NA,1,"Metabolism and nutrition disorders","Anorexia",0,NA,"Systematic Assessment"
"5",581571803,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,10,14,NA,NA,"Metabolism and nutrition disorders","Anorexia",0,NA,"Systematic Assessment"
"6",581571804,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,3,14,NA,NA,"Metabolism and nutrition disorders","Hypophosphatemia",0,NA,"Systematic Assessment"
"7",581571805,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Metabolism and nutrition disorders","Metabolism and nutrition disorders - Other, specify",0,NA,"Systematic Assessment"
"8",581571806,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Metabolism and nutrition disorders","Hypocalcemia",0,NA,"Systematic Assessment"
"9",581571807,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Metabolism and nutrition disorders","Hyponatremia",0,NA,"Systematic Assessment"
"10",581571808,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,6,14,NA,NA,"Investigations","Weight loss",0,NA,"Systematic Assessment"
"11",581571809,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,4,14,NA,NA,"Investigations","Platelet count decreased",0,NA,"Systematic Assessment"
"12",581571810,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Investigations","INR increased",0,NA,"Systematic Assessment"
"13",581571811,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Investigations","Investigations - Other, specify",0,NA,"Systematic Assessment"
"14",581571812,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Investigations","Neutrophil count decreased",0,NA,"Systematic Assessment"
"15",581571813,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,7,14,NA,NA,"Gastrointestinal disorders","Nausea",0,NA,"Systematic Assessment"
"16",581571814,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,4,14,NA,NA,"Gastrointestinal disorders","Vomiting",0,NA,"Systematic Assessment"
"17",581571815,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,3,14,NA,NA,"Gastrointestinal disorders","Constipation",0,NA,"Systematic Assessment"
"18",581571816,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,3,14,NA,NA,"Gastrointestinal disorders","Diarrhea",0,NA,"Systematic Assessment"
"19",581571817,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Gastrointestinal disorders","Abdominal distension",0,NA,"Systematic Assessment"
"20",581571818,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Gastrointestinal disorders","Abdominal pain",0,NA,"Systematic Assessment"
"21",581571819,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Gastrointestinal disorders","Flatulence",0,NA,"Systematic Assessment"
"22",581571820,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Gastrointestinal disorders","Gastrointestinal disorders - Other, specify",0,NA,"Systematic Assessment"
"23",581571821,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,6,14,NA,NA,"General disorders","Fatigue",0,NA,"Systematic Assessment"
"24",581571822,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"General disorders","Pain",0,NA,"Systematic Assessment"
"25",581571823,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"General disorders","Localized edema",0,NA,"Systematic Assessment"
"26",581571824,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,5,14,NA,NA,"Blood and lymphatic system disorders","Anemia",0,NA,"Systematic Assessment"
"27",581571825,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,3,14,NA,NA,"Blood and lymphatic system disorders","Blood and lymphatic system disorders - Other, specify",0,NA,"Systematic Assessment"
"28",581571826,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Musculoskeletal and connective tissue disorders","Bone pain",0,NA,"Systematic Assessment"
"29",581571827,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Musculoskeletal and connective tissue disorders","Pain in extremity",0,NA,"Systematic Assessment"
"30",581571828,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Musculoskeletal and connective tissue disorders","Arthralgia",0,NA,"Systematic Assessment"
"31",581571829,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Musculoskeletal and connective tissue disorders","Musculoskeletal and connective tissue disorder - Other, specify",0,NA,"Systematic Assessment"
"32",581571830,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Nervous system disorders","Dizziness",0,NA,"Systematic Assessment"
"33",581571831,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Nervous system disorders","Presyncope",0,NA,"Systematic Assessment"
"34",581571832,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Nervous system disorders","Headache",0,NA,"Systematic Assessment"
"35",581571833,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,5,14,NA,NA,"Vascular disorders","Hypotension",0,NA,"Systematic Assessment"
"36",581571834,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,4,14,NA,NA,"Vascular disorders","Hot flashes",0,NA,"Systematic Assessment"
"37",581571835,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Eye disorders","Blurred vision",0,NA,"Systematic Assessment"
"38",581571836,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Eye disorders","Eye pain",0,NA,"Systematic Assessment"
"39",581571837,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Eye disorders","Night blindness",0,NA,"Systematic Assessment"
"40",581571838,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Eye disorders","Watering eyes",0,NA,"Systematic Assessment"
"41",581571839,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Infections and infestations","Lung infection",0,NA,"Systematic Assessment"
"42",581571840,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Infections and infestations","Upper respiratory infection",0,NA,"Systematic Assessment"
"43",581571841,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Infections and infestations","Urinary tract infection",0,NA,"Systematic Assessment"
"44",581571842,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Psychiatric disorders","Insomnia",0,NA,"Systematic Assessment"
"45",581571843,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,3,14,NA,NA,"Psychiatric disorders","Psychosis",0,NA,"Systematic Assessment"
"46",581571844,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Respiratory, thoracic and mediastinal disorders","Cough",0,NA,"Systematic Assessment"
"47",581571845,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Respiratory, thoracic and mediastinal disorders","Dyspnea",0,NA,"Systematic Assessment"
"48",581571846,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Respiratory, thoracic and mediastinal disorders","Voice alteration",0,NA,"Systematic Assessment"
"49",581571847,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Cardiac disorders","Cardiac disorders - Other, specify",0,NA,"Systematic Assessment"
"50",581571848,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Cardiac disorders","Chest pain - cardiac",0,NA,"Systematic Assessment"
"51",581571849,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,2,14,NA,NA,"Skin and subcutaneous tissue disorders","Skin and subcutaneous tissue disorders - Other, specify",0,NA,"Systematic Assessment"
"52",581571850,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Skin and subcutaneous tissue disorders","Alopecia",0,NA,"Systematic Assessment"
"53",581571851,"NCT02215161",60409052,"EG000","2 years, 6 months","other",NA,NA,1,14,NA,NA,"Renal and urinary disorders","Hematuria",0,NA,"Systematic Assessment"
"54",581820215,"NCT01116661",60447134,"EG000","From time of ALA dosing up to 14 days post- operative","serious",NA,NA,1,199,NA,1,"Cardiac disorders","Hypotension",0,"CTCAE (3.0)","Systematic Assessment"
"55",581820216,"NCT01116661",60447134,"EG000","From time of ALA dosing up to 14 days post- operative","serious",NA,NA,1,199,NA,1,"Nervous system disorders","Intracranial hemorrhage",0,"CTCAE (3.0)","Systematic Assessment"
"56",581820217,"NCT01116661",60447134,"EG000","From time of ALA dosing up to 14 days post- operative","serious",NA,NA,1,199,NA,2,"Infections and infestations","Infection - with Grade 3 or 4 nuetrophils",0,"CTCAE (3.0)","Systematic Assessment"
"57",581820218,"NCT01116661",60447134,"EG000","From time of ALA dosing up to 14 days post- operative","serious",NA,NA,1,199,NA,1,"Infections and infestations","Infection - other",0,"CTCAE (3.0)","Systematic Assessment"
"58",581820219,"NCT01116661",60447134,"EG000","From time of ALA dosing up to 14 days post- operative","serious",NA,NA,2,199,NA,2,"Metabolism and nutrition disorders","Hyponatremia",0,"CTCAE (3.0)","Non-systematic Assessment"
