"euctr_id","result","link"
"2007-002223-32","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2007-002223-32/results"
"2006-005410-13","no result found",""
"2006-003122-28","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2006-003122-28/results"
"2009-017458-11","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-017458-11/results"
"2010-020219-35","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-020219-35/results"
"2010-021333-31","no result found",""
"2005-003854-80","no result found",""
"2008-007520-26","no result found",""
"2005-006098-29","no result found",""
"2005-004067-30","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2005-004067-30/results"
"2006-003834-14","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2006-003834-14/results"
"2007-002765-12","no result found",""
"2007-000224-41","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2007-000224-41/results"
"2006-005262-39","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2006-005262-39/results"
"2007-002119-17","no result found",""
"2007-006014-41","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2007-006014-41/results"
"2005-005434-12","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2005-005434-12/results"
"2007-005916-15","no result found",""
"2005-000771-18","no result found",""
"2008-005536-32","no result found",""
"2009-017052-27","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-017052-27/results"
"2009-013328-21","no result found",""
"2009-015496-27","no result found",""
"2009-011999-30","no result found",""
"2009-017520-88","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-017520-88/results"
"2007-004516-31","no result found",""
"2009-015119-42","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-015119-42/results"
"2011-000756-42","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-000756-42/results"
"2010-023426-20","no result found",""
"2015-000425-37","no result found",""
"2011-000504-18","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-000504-18/results"
"2014-000973-38","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2014-000973-38/results"
"2013-002416-27","no result found",""
"2011-004787-30","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-004787-30/results"
"2011-002785-20","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-002785-20/results"
"2011-003201-14","no result found",""
"2010-018665-30","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-018665-30/results"
"2005-002011-24","no result found",""
"2012-003669-17","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2012-003669-17/results"
"2010-023237-37","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-023237-37/results"
"2010-020793-42","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-020793-42/results"
"2010-020606-15","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-020606-15/results"
"2007-005116-12","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2007-005116-12/results"
"2009-014040-11","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-014040-11/results"
"2006-006404-11","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2006-006404-11/results"
"2005-002716-16","no result found",""
"2014-005440-17","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2014-005440-17/results"
"2012-003859-12","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2012-003859-12/results"
"2012-003858-81","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2012-003858-81/results"
"2010-019884-12","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-019884-12/results"
"2008-005312-41","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2008-005312-41/results"
"2010-022679-71","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-022679-71/results"
"2011-001403-12","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-001403-12/results"
"2010-021018-49","no result found",""
"2014-001983-36","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2014-001983-36/results"
"2013-004604-19","no result found",""
"2009-011898-33","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-011898-33/results"
"2009-014728-44","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-014728-44/results"
"2007-003003-12","no result found",""
"2011-005296-16","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-005296-16/results"
"2009-014441-93","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-014441-93/results"
"2011-002947-83","no result found",""
"2015-001868-19","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2015-001868-19/results"
"2013-003229-27","no result found",""
"2013-000522-58","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2013-000522-58/results"
"2011-004304-38","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-004304-38/results"
"2009-017595-25","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2009-017595-25/results"
"2007-000259-33","no result found",""
"2013-004489-32","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2013-004489-32/results"
"2011-002192-41","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2011-002192-41/results"
"2008-003778-16","no result found",""
"2007-006016-33","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2007-006016-33/results"
"2014-000477-39","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2014-000477-39/results"
"2012-001134-33","no result found",""
"2010-023022-20","result found","https://www.clinicaltrialsregister.eu//ctr-search/trial/2010-023022-20/results"
