nct_id,ctgov_group_code,time_frame,event_type,default_vocab,default_assessment,subjects_affected,subjects_at_risk,description,event_count,adverse_event_term,frequency_threshold,vocab,assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Dehydration,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Dehydration,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Disease progression,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Disease progression,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Staphylococcal skin infection,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Staphylococcal skin infection,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Abdominal pain,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",3,Abdominal pain,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Gait disturbance,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Gait disturbance,5,MedDRA,Systematic Assessment
