,euctr_id,title,reg_date,other_id,field,provenance
1,2004-000957-47, Comparison of Bisoprolol and Carvedilol in elderly patients with,08-11-2007,NA,US NCT number,protocol
2,2004-000957-47, Comparison of Bisoprolol and Carvedilol in elderly patients with,08-11-2007,NA,other,protocol
3,2004-000957-47, Comparison of Bisoprolol and Carvedilol in elderly patients with,08-11-2007,NA,US NCT number,results
4,2004-000957-47, Comparison of Bisoprolol and Carvedilol in elderly patients with,08-11-2007,NA,ISRCTN number,results
5,2004-002420-18," A prospective, non-randomized, non-controlled, open label, multicenter phase II Study: PTK 787/ ZK222584 in patients with advanced neuroendocrine tumors.",11-02-2005,NA,US NCT number,protocol
6,2004-002420-18," A prospective, non-randomized, non-controlled, open label, multicenter phase II Study: PTK 787/ ZK222584 in patients with advanced neuroendocrine tumors.",11-02-2005,NA,other,protocol
7,2004-002420-18," A prospective, non-randomized, non-controlled, open label, multicenter phase II Study: PTK 787/ ZK222584 in patients with advanced neuroendocrine tumors.",11-02-2005,NA,US NCT number,results
8,2004-002420-18," A prospective, non-randomized, non-controlled, open label, multicenter phase II Study: PTK 787/ ZK222584 in patients with advanced neuroendocrine tumors.",11-02-2005,NA,ISRCTN number,results
9,2004-002646-35, Pilot study for evaluation of growth factor erythropoietin beta for improvement of left ventricular function after coronary interventions,08-05-2006,NA,US NCT number,protocol
10,2004-002646-35, Pilot study for evaluation of growth factor erythropoietin beta for improvement of left ventricular function after coronary interventions,08-05-2006,NA,other,protocol
11,2004-002646-35, Pilot study for evaluation of growth factor erythropoietin beta for improvement of left ventricular function after coronary interventions,08-05-2006,NCT00568542,US NCT number,results
12,2004-002646-35, Pilot study for evaluation of growth factor erythropoietin beta for improvement of left ventricular function after coronary interventions,08-05-2006,NA,ISRCTN number,results
13,2004-002754-62, Development of CYP2D6 genotype based dosage guidelines for the beta-blockers metoprolol and carvedilol based on hepatic clearance and resting and exercise heart rate reduction,08-10-2004,NA,US NCT number,protocol
14,2004-002754-62, Development of CYP2D6 genotype based dosage guidelines for the beta-blockers metoprolol and carvedilol based on hepatic clearance and resting and exercise heart rate reduction,08-10-2004,NA,other,protocol
15,2004-002754-62, Development of CYP2D6 genotype based dosage guidelines for the beta-blockers metoprolol and carvedilol based on hepatic clearance and resting and exercise heart rate reduction,08-10-2004,NA,US NCT number,results
16,2004-002754-62, Development of CYP2D6 genotype based dosage guidelines for the beta-blockers metoprolol and carvedilol based on hepatic clearance and resting and exercise heart rate reduction,08-10-2004,NA,ISRCTN number,results
17,2004-002788-25, Hippocampal volume in young adults with moderate to severe depression before and after combined antidepressant therapy,02-06-2006,NA,US NCT number,protocol
18,2004-002788-25, Hippocampal volume in young adults with moderate to severe depression before and after combined antidepressant therapy,02-06-2006,NA,other,protocol
19,2004-002788-25, Hippocampal volume in young adults with moderate to severe depression before and after combined antidepressant therapy,02-06-2006,NA,US NCT number,results
20,2004-002788-25, Hippocampal volume in young adults with moderate to severe depression before and after combined antidepressant therapy,02-06-2006,NA,ISRCTN number,results
21,2004-002803-34, Phase I/II-Studie,25-11-2004,NA,US NCT number,protocol
22,2004-002803-34, Phase I/II-Studie,25-11-2004,NA,other,protocol
23,2004-002803-34, Phase I/II-Studie,25-11-2004,NA,US NCT number,results
24,2004-002803-34, Phase I/II-Studie,25-11-2004,NA,ISRCTN number,results
25,2004-002903-34, Phänotypisierung und Genotypisierung von Cytochrom P450-Enzymen,03-12-2004,NA,US NCT number,protocol
26,2004-002903-34, Phänotypisierung und Genotypisierung von Cytochrom P450-Enzymen,03-12-2004,NA,other,protocol
27,2004-002903-34, Phänotypisierung und Genotypisierung von Cytochrom P450-Enzymen,03-12-2004,NA,US NCT number,results
28,2004-002903-34, Phänotypisierung und Genotypisierung von Cytochrom P450-Enzymen,03-12-2004,NA,ISRCTN number,results
29,2004-003739-30," Phase II Study on Gemtuzumab Ozogamicin in Combination with All-trans-Retinoic Acid, high-dose Cytarabine and Mitoxantrone in Patients with primary refractory acute myeloid leukemia [GO-A-HAM]",28-09-2005,NA,US NCT number,protocol
30,2004-003739-30," Phase II Study on Gemtuzumab Ozogamicin in Combination with All-trans-Retinoic Acid, high-dose Cytarabine and Mitoxantrone in Patients with primary refractory acute myeloid leukemia [GO-A-HAM]",28-09-2005,NA,other,protocol
31,2004-003739-30," Phase II Study on Gemtuzumab Ozogamicin in Combination with All-trans-Retinoic Acid, high-dose Cytarabine and Mitoxantrone in Patients with primary refractory acute myeloid leukemia [GO-A-HAM]",28-09-2005,NA,US NCT number,results
32,2004-003739-30," Phase II Study on Gemtuzumab Ozogamicin in Combination with All-trans-Retinoic Acid, high-dose Cytarabine and Mitoxantrone in Patients with primary refractory acute myeloid leukemia [GO-A-HAM]",28-09-2005,NA,ISRCTN number,results
33,2004-003783-30, Application of Aprepitant as salvage prophylaxis after failure of a conventional antiemetic therapy during moderately emetogenic chemotherapy in gastrointestinal cancer,23-02-2005,NA,US NCT number,protocol
34,2004-003783-30, Application of Aprepitant as salvage prophylaxis after failure of a conventional antiemetic therapy during moderately emetogenic chemotherapy in gastrointestinal cancer,23-02-2005,NA,other,protocol
35,2004-003783-30, Application of Aprepitant as salvage prophylaxis after failure of a conventional antiemetic therapy during moderately emetogenic chemotherapy in gastrointestinal cancer,23-02-2005,NA,US NCT number,results
36,2004-003783-30, Application of Aprepitant as salvage prophylaxis after failure of a conventional antiemetic therapy during moderately emetogenic chemotherapy in gastrointestinal cancer,23-02-2005,NA,ISRCTN number,results
37,2004-003801-26," Offene, multizentrische, nicht-randomisierte Phase II Studie:Dosiseskalation von Zevalin und zeitnahe Applikation der Hochdosischemotherapie BEAM gefolgt von autologer Stammzelltransplantation zur Behandlung von refraktären und rezidivierten aggressiven Non-Hodgkin-Lymphomen",08-11-2004,NA,US NCT number,protocol
38,2004-003801-26," Offene, multizentrische, nicht-randomisierte Phase II Studie:Dosiseskalation von Zevalin und zeitnahe Applikation der Hochdosischemotherapie BEAM gefolgt von autologer Stammzelltransplantation zur Behandlung von refraktären und rezidivierten aggressiven Non-Hodgkin-Lymphomen",08-11-2004,NA,other,protocol
39,2004-003801-26," Offene, multizentrische, nicht-randomisierte Phase II Studie:Dosiseskalation von Zevalin und zeitnahe Applikation der Hochdosischemotherapie BEAM gefolgt von autologer Stammzelltransplantation zur Behandlung von refraktären und rezidivierten aggressiven Non-Hodgkin-Lymphomen",08-11-2004,NA,US NCT number,results
40,2004-003801-26," Offene, multizentrische, nicht-randomisierte Phase II Studie:Dosiseskalation von Zevalin und zeitnahe Applikation der Hochdosischemotherapie BEAM gefolgt von autologer Stammzelltransplantation zur Behandlung von refraktären und rezidivierten aggressiven Non-Hodgkin-Lymphomen",08-11-2004,NA,ISRCTN number,results
41,2004-003816-47, Clinical pilot study on the effect of Metformin in adipose children and adolescents with insulin-resistance,19-10-2005,NA,US NCT number,protocol
42,2004-003816-47, Clinical pilot study on the effect of Metformin in adipose children and adolescents with insulin-resistance,19-10-2005,NA,other,protocol
43,2004-003816-47, Clinical pilot study on the effect of Metformin in adipose children and adolescents with insulin-resistance,19-10-2005,NA,US NCT number,results
44,2004-003816-47, Clinical pilot study on the effect of Metformin in adipose children and adolescents with insulin-resistance,19-10-2005,NA,ISRCTN number,results
45,2004-004024-12, Efficacy of the EGFR antibody Cetuximab in combination with weekly Oxaliplatin/5FU/Folinsäure (AIO-FUFOX) in advanced gastro-oesophageal adenocarcinoma,17-02-2005,NA,US NCT number,protocol
46,2004-004024-12, Efficacy of the EGFR antibody Cetuximab in combination with weekly Oxaliplatin/5FU/Folinsäure (AIO-FUFOX) in advanced gastro-oesophageal adenocarcinoma,17-02-2005,NA,other,protocol
47,2004-004024-12, Efficacy of the EGFR antibody Cetuximab in combination with weekly Oxaliplatin/5FU/Folinsäure (AIO-FUFOX) in advanced gastro-oesophageal adenocarcinoma,17-02-2005,NA,US NCT number,results
